30, 32.3, 34.8, 5.568, 3.3756
31.7, 34, 37.8, 5.7078, 4.158
32.7, 35, 38.8, 5.9364, 4.3844
34.8, 37.3, 39.8, 6.2884, 4.0198
35.5, 38, 40.5, 7.29, 4.5765
36, 38.5, 41, 6.396, 3.977
40, 42.5, 45.5, 7.28, 4.3225
40, 42.5, 45.5, 6.825, 4.459
40.1, 43, 45.8, 7.786, 5.1296
42, 45, 48, 6.96, 4.896
43.2, 46, 48.7, 7.792, 4.87
44.8, 48, 51.2, 7.68, 5.376
48.3, 51.7, 55.1, 8.9262, 6.1712
52, 56, 59.7, 10.6863, 6.9849
56, 60, 64, 9.6, 6.144
56, 60, 64, 9.6, 6.144
59, 63.4, 68, 10.812, 7.48
9.3, 9.8, 10.8, 1.7388, 1.0476
10, 10.5, 11.6, 1.972, 1.16
10.1, 10.6, 11.6, 1.7284, 1.1484
10.4, 11, 12, 2.196, 1.38
10.7, 11.2, 12.4, 2.0832, 1.2772
10.8, 11.3, 12.6, 1.9782, 1.2852
11.3, 11.8, 13.1, 2.2139, 1.2838
11.3, 11.8, 13.1, 2.2139, 1.1659
11.4, 12, 13.2, 2.2044, 1.1484
11.5, 12.2, 13.4, 2.0904, 1.3936
11.7, 12.4, 13.5, 2.43, 1.269
12.1, 13, 13.8, 2.277, 1.2558
13.2, 14.3, 15.2, 2.8728, 2.0672
13.8, 15, 16.2, 2.9322, 1.8792
